customer_id,customer_name,email,phone,gender,signup_date,city,state,pincode
CUST000001,Ravi Chandel,ravi.chandel293@outlook.com,7073180308,Male,2025-01-12,Mumbai,Maharashtra,391618
CUST000002,Komal Chakraborty,komal.chakraborty606@gmail.com,6015525265,Female,2025-02-15,Ahmedabad,Gujarat,223628
CUST000004,Girraj Mandal,girraj.mandal900@outlook.com,8332893326,Male,2024-01-12,Margao,Goa,793662
CUST000005,Tanmay Das,tanmay.das242@yahoo.com,8688819600,Male,2022-07-04,Hyderabad,Telangana,316263
CUST000006,Arjun Mandal,arjun.mandal376@gmail.com,8653190363,Male,2022-02-22,Moradabad,Uttar Pradesh,379838
CUST000007,Saurabh Rastogi,saurabh.rastogi826@yahoo.com,8001905885,Male,2022-08-12,Mumbai,Maharashtra,391104
CUST000008,Neha Bhat,neha.bhat542@rediffmail.com,6260114341,Female,2023-10-16,Delhi,Delhi,336603
CUST000009,Kabir Chatterjee,kabir.chatterjee420@outlook.com,6192843996,Male,2022-07-19,Meerut,Uttar Pradesh,190303
CUST000010,Sakshi Das,sakshi.das159@gmail.com,7780978237,Female,2023-08-15,Jaipur,Rajasthan,422920
CUST000011,Mohit Bajwa,mohit.bajwa838@gmail.com,8743684916,Male,2022-04-01,Nagpur,Maharashtra,-1
CUST000012,Aditi Agarwal,aditi.agarwal335@yahoo.com,7999845161,Female,2023-06-29,Kochi,Kerala,452330
CUST000013,Naveen Sethi,naveen.sethi628@yahoo.com,6963527732,Male,2023-02-26,Bengaluru,Karnataka,214675
CUST000014,Anjali Rawat,anjali.rawat542@gmail.com,8510902730,Female,2022-05-24,Noida,Uttar Pradesh,747913
CUST000015,Hemant Naidu,hemant.naidu537@gmail.com,8370856849,Male,2022-04-15,Bengaluru,Karnataka,214683
CUST000016,Rudra Shetty,rudra.shetty531@gmail.com,9518824987,Male,2022-02-07,Chennai,Tamil Nadu,536951
CUST000017,Radhika Chopra,radhika.chopra916@gmail.com,9376320180,Female,2025-02-23,Rajkot,Gujarat,665617
CUST000018,Sapna Solanki,sapna.solanki124@gmail.com,6664386476,Female,2023-07-10,Vadodara,Gujarat,515982
CUST000019,Madhavi Shetty,madhavi.shetty874@gmail.com,6837881003,Female,2023-07-25,Bengaluru,Karnataka,214697
CUST000020,Garima Dhar,garima.dhar265@gmail.com,7155950344,Female,2022-02-04,Jaipur,Rajasthan,422722
CUST000021,Jatin Karmakar,jatin.karmakar528@gmail.com,6265018899,Male,2022-02-04,Mumbai,Maharashtra,391997
CUST000022,Amit Khanna,amit.khanna818@gmail.com,6344191217,Male,2025-09-01,Kanpur,Uttar Pradesh,774430
CUST000023,Yogesh Halder,yogesh.halder839@gmail.com,8981454727,Male,2023-11-24,Gurugram,Haryana,558869
CUST000024,Tanmay Mandal,tanmay.mandal785@gmail.com,9980060717,Male,2022-03-26,Delhi,Delhi,336293
CUST000025,Indira Pillai,indira.pillai492@rediffmail.com,6291529489,Female,2022-02-15,Patna,Bihar,798260
CUST000026,Sunil Saxena,Unknown,7284527640,Male,2024-10-07,Mumbai,Maharashtra,391209
CUST000027,Bhumi Rathore,bhumi.rathore421@outlook.com,9123713606,Female,2022-04-13,Bengaluru,Karnataka,214995
CUST000028,Aditya Bisht,aditya.bisht689@gmail.com,9556259126,Male,2024-07-31,Surat,Gujarat,713038
CUST000029,Aakash Kapoor,aakash.kapoor604@outlook.com,6075069355,Male,2023-08-08,Delhi,Delhi,336955
CUST000030,Aadhya Pandey,aadhya.pandey873@gmail.com,8011916960,Female,2022-10-31,Cuttack,Odisha,620957
CUST000031,Qasim Thakur,qasim.thakur594@gmail.com,9951805721,Male,2022-07-02,Chennai,Tamil Nadu,536182
CUST000032,Mira Biswas,mira.biswas340@outlook.com,7798273447,Female,2024-10-06,Hyderabad,Telangana,316076
CUST000033,Karan Shah,karan.shah176@rediffmail.com,7272614213,Male,2022-12-27,Salem,Tamil Nadu,122093
CUST000034,Damini Khanna,damini.khanna225@outlook.com,7981400533,Female,2022-09-01,Bengaluru,Karnataka,214987
